Time	Quinpirole_log_M	userDefVariable
0	0	NaN
26	0	1.1934
900	0	NaN
926	0	1.1766
1800	0	NaN
1826	0	1.1759
2700	0	NaN
2726	0	1.1824
3600	0	NaN
3626	0	1.1928
4500	0	NaN
4526	0	1.2012
5400	0	NaN
5426	0	1.2113
6300	0	NaN
6326	0	1.2174
7200	0	NaN
7226	0	1.2218
		
Time	Quinpirole_log_M	userDefVariable
0	0	NaN
26	0	1.1903
900	0	NaN
926	0	1.2113
1800	0	NaN
1826	0	1.2297
2700	0	NaN
2726	0	1.246
3600	0	NaN
3626	0	1.2625
4500	0	NaN
4526	0	1.2795
5400	0	NaN
5426	0	1.2912
6300	0	NaN
6326	0	1.3022
7200	0	NaN
7226	0	1.3112
		
Time	Quinpirole_log_M	userDefVariable
0	0	NaN
26	0	1.1798
900	0	NaN
926	0	1.2294
1800	0	NaN
1826	0	1.2694
2700	0	NaN
2726	0	1.3031
3600	0	NaN
3626	0	1.3305
4500	0	NaN
4526	0	1.3533
5400	0	NaN
5426	0	1.3731
6300	0	NaN
6326	0	1.391
7200	0	NaN
7226	0	1.406
		
Time	Quinpirole_log_M	userDefVariable
0	0	NaN
26	0	1.2036
900	0	NaN
926	0	1.2586
1800	0	NaN
1826	0	1.3092
2700	0	NaN
2726	0	1.3539
3600	0	NaN
3626	0	1.3918
4500	0	NaN
4526	0	1.4225
5400	0	NaN
5426	0	1.4528
6300	0	NaN
6326	0	1.4769
7200	0	NaN
7226	0	1.4968
		
Time	Quinpirole_log_M	userDefVariable
0	0	NaN
26	0	1.2334
900	0	NaN
926	0	1.3096
1800	0	NaN
1826	0	1.3739
2700	0	NaN
2726	0	1.4285
3600	0	NaN
3626	0	1.4754
4500	0	NaN
4526	0	1.5156
5400	0	NaN
5426	0	1.5511
6300	0	NaN
6326	0	1.582
7200	0	NaN
7226	0	1.6102
		
Time	Quinpirole_log_M	userDefVariable
0	0	NaN
26	0	1.2266
900	0	NaN
926	0	1.2998
1800	0	NaN
1826	0	1.3714
2700	0	NaN
2726	0	1.433
3600	0	NaN
3626	0	1.4845
4500	0	NaN
4526	0	1.5274
5400	0	NaN
5426	0	1.5667
6300	0	NaN
6326	0	1.6
7200	0	NaN
7226	0	1.6301
		
Time	Quinpirole_log_M	userDefVariable
0	0	NaN
26	0	1.2239
900	0	NaN
926	0	1.2782
1800	0	NaN
1826	0	1.3483
2700	0	NaN
2726	0	1.4063
3600	0	NaN
3626	0	1.4573
4500	0	NaN
4526	0	1.4985
5400	0	NaN
5426	0	1.5349
6300	0	NaN
6326	0	1.5652
7200	0	NaN
7226	0	1.5957
		
Time	Quinpirole_log_M	userDefVariable
0	0	NaN
26	0	1.2049
900	0	NaN
926	0	1.2822
1800	0	NaN
1826	0	1.3432
2700	0	NaN
2726	0	1.3969
3600	0	NaN
3626	0	1.4423
4500	0	NaN
4526	0	1.4803
5400	0	NaN
5426	0	1.5129
6300	0	NaN
6326	0	1.5406
7200	0	NaN
7226	0	1.5644
