Procedure Details

Plate Type	Corning 96 well flat bottom - copy
Well Selection	Runtime
Eject plate on completion	
Set Temperature	Setpoint 30°C, Gradient 0 °C
	Preheat before moving to next step
Read	Fluorescence Endpoint
	Full Plate
	Filter Set 1 (Dual PMT)
	    Excitation: 420/50,  Emission: 485/20
	    Optics: Top,  Gain: 80
	Filter Set 2 (Dual PMT)
	    Excitation: 420/50,  Emission: 540/25
	    Optics: Top,  Gain: 80
	Light Source: Xenon Flash,  Lamp Energy: Low
	Read Speed: Normal,  Delay: 0 msec,  Measurements/Data Point: 10
	Filter Switching
	Read Height: 5 mm
Plate Out/In	forskolin
Start Kinetic	Runtime 1:30:00 (HH:MM:SS), Interval 0:00:21, 258 Reads
    Read	Fluorescence Endpoint
	Full Plate
	Filter Set 1 (Dual PMT)
	    Excitation: 420/50,  Emission: 485/20
	    Optics: Top,  Gain: 80
	Filter Set 2 (Dual PMT)
	    Excitation: 420/50,  Emission: 540/25
	    Optics: Top,  Gain: 80
	Light Source: Xenon Flash,  Lamp Energy: Low
	Read Speed: Normal,  Delay: 0 msec,  Measurements/Data Point: 10
	Filter Switching
	Read Height: 5 mm
End Kinetic	



Actual Temperature:	30,0

Read 1:420/50,485/20

Well ID	SPL1	SPL2	SPL3	SPL4	SPL5	SPL6	SPL7	SPL8	SPL9	SPL10	SPL11	SPL12	SPL13	SPL14	SPL15	SPL16	SPL17	SPL18	SPL19	SPL20	SPL21	SPL22	SPL23	SPL24	SPL25	SPL26	SPL27	SPL28	SPL29	SPL30	SPL31	SPL32	SPL33	SPL34	SPL35	SPL36	SPL37	SPL38	SPL39	SPL40	SPL41	SPL42	SPL43	SPL44	SPL45	SPL46	SPL47	SPL48	SPL49	SPL50	SPL51	SPL52	SPL53	SPL54	SPL55	SPL56	SPL57	SPL58	SPL59	SPL60	SPL61	SPL62	SPL63	SPL64	SPL65	SPL66	SPL67	SPL68	SPL69	SPL70	SPL71	SPL72	SPL73	SPL74	SPL75	SPL76	SPL77	SPL78	SPL79	SPL80	SPL81	SPL82	SPL83	SPL84	SPL85	SPL86	SPL87	SPL88	SPL89	SPL90	SPL91	SPL92	SPL93	SPL94	SPL95	SPL96	
Well	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12	
Read 1:420/50,485/20	13825	13556	14050	14049	13963	13809	15321	15709	14907	13764	14241	17218	14035	13935	14482	14920	14541	14628	14896	15424	15847	14477	14286	15899	13379	14278	14836	14860	14687	14616	15100	15190	14618	14741	14685	14375	13728	15207	14845	15073	14123	14471	14678	15140	14819	14160	14323	15253	13499	14851	14521	15291	14855	13775	14638	15461	15258	14560	14788	14241	13804	15009	14976	15323	14854	14533	14906	16059	16191	14236	14962	14955	13669	15758	14688	20220	14693	14668	14888	16253	16595	14726	15104	14340	13696	14552	14194	15143	14399	14682	14775	16423	16452	13515	14840	14657	



Actual Temperature:	30,0

Read 1:420/50,540/25

Well ID	SPL1	SPL2	SPL3	SPL4	SPL5	SPL6	SPL7	SPL8	SPL9	SPL10	SPL11	SPL12	SPL13	SPL14	SPL15	SPL16	SPL17	SPL18	SPL19	SPL20	SPL21	SPL22	SPL23	SPL24	SPL25	SPL26	SPL27	SPL28	SPL29	SPL30	SPL31	SPL32	SPL33	SPL34	SPL35	SPL36	SPL37	SPL38	SPL39	SPL40	SPL41	SPL42	SPL43	SPL44	SPL45	SPL46	SPL47	SPL48	SPL49	SPL50	SPL51	SPL52	SPL53	SPL54	SPL55	SPL56	SPL57	SPL58	SPL59	SPL60	SPL61	SPL62	SPL63	SPL64	SPL65	SPL66	SPL67	SPL68	SPL69	SPL70	SPL71	SPL72	SPL73	SPL74	SPL75	SPL76	SPL77	SPL78	SPL79	SPL80	SPL81	SPL82	SPL83	SPL84	SPL85	SPL86	SPL87	SPL88	SPL89	SPL90	SPL91	SPL92	SPL93	SPL94	SPL95	SPL96	
Well	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12	
Read 1:420/50,540/25	9952	10170	10846	10700	10602	10165	9829	10772	9661	10133	10421	11695	10781	10570	10971	11719	11038	11062	11189	11847	12918	11299	10700	10816	9828	10981	11572	11610	11332	11243	11531	11872	11257	10892	11106	10223	10306	11655	11501	11744	10569	11002	11293	11806	11597	10749	10578	10731	9854	11503	11031	11875	11469	10188	11147	12411	11974	11044	11310	10332	10232	11467	11847	11882	11114	10967	11172	13239	13370	10683	11255	11291	10040	11454	10970	14781	11273	11026	10907	13810	13694	10727	11563	10906	9917	10960	10587	11879	10628	10483	10734	14057	13910	9924	11546	11589	

Read 2:420/50,485/20

Time	T° Read 2:420/50,485/20	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0	30,0	13804	14251	13987	14938	18238	14394	15830	17205	15708	14391	15117	18075	14640	14704	14448	15505	14878	15205	15716	16219	16413	15414	15134	16816	14434	15088	14774	15628	15405	15629	17913	15980	15621	15982	15326	15502	14455	15563	14648	15848	14887	14880	15389	15888	15509	14730	15377	16220	14235	15540	14312	15703	15575	14584	15095	16318	16133	15039	15403	15125	14581	15475	14692	15985	15303	15469	15733	16723	16719	15177	15337	15863	14686	16556	14410	21278	15245	15180	15816	16965	17357	15160	15697	15368	14550	14951	13926	15821	15044	15374	15602	17324	17469	14088	15689	16289
21	30,0	15502	14749	13953	14964	14538	14609	16020	17262	15709	14883	15115	18307	14653	15122	14374	15887	14984	15182	15893	16162	16608	15617	16606	16692	15399	15286	14813	15581	15334	15643	15904	16501	15682	16127	15515	15701	14631	15973	14813	15996	14919	15166	15519	15996	15664	15044	16116	16516	14774	15827	14378	15831	16022	14791	15126	16352	16284	15428	15743	15204	14850	15833	14688	16094	15609	15320	15926	16844	16874	15007	15604	15786	14583	16831	14585	21323	15624	15485	15508	17088	17584	15221	16180	15899	14527	15201	13978	15836	15261	15508	15581	17374	17627	14225	16230	15436
42	30,0	16433	15889	14048	15445	15162	14674	16397	17131	16088	15581	15398	20100	14844	15211	14405	16011	15062	15304	15978	16484	16589	16294	15814	16740	15602	15511	14585	15728	15443	15729	16078	16859	15666	16228	15546	15480	15520	16576	14768	16040	15350	14986	15994	16189	16582	15796	16842	16298	14708	15787	14439	16001	16082	14827	15554	16389	15916	15360	15411	15065	15152	16210	14551	16258	15733	15401	15777	17063	17089	15272	15600	15763	14804	16597	14491	21472	15845	15564	15709	17353	17534	15313	16202	15394	14526	15123	13922	16244	15298	15456	15853	17588	18048	14410	15863	14784
63	30,0	16894	15723	14228	15215	15190	14597	17163	17290	16350	16397	15557	21030	14771	15166	14669	15892	15117	15382	15842	16780	16735	15873	15859	17398	14591	15878	14528	15593	15643	16005	20856	16629	15555	16324	15646	15611	14833	16428	14553	16539	15075	15074	15471	16546	16458	16516	16998	16907	14732	16198	14379	15753	16196	15622	15904	16793	15816	15702	15891	16451	15170	16329	14859	16252	15785	15287	16597	17046	16830	14952	17164	16038	15131	16695	14423	21274	15978	15348	15870	17504	17831	15604	15717	14979	14895	15490	14014	15828	15393	15575	15828	17630	17618	14363	16500	14271
84	30,0	17273	15789	13806	15191	15676	14696	17419	17801	17189	17179	16432	21745	14841	15109	14653	15989	14949	15391	16156	16743	16822	16256	16431	18147	15375	16904	14745	15502	15767	17084	21283	16578	16006	15922	15974	16298	15650	16428	14750	16321	15374	15203	15750	16580	15799	15029	19807	16435	14638	17683	14523	16008	15997	16380	15769	16582	16005	15922	17736	15939	15903	16444	14587	16079	15949	15937	15892	17022	16924	15398	17101	16054	14919	16730	14464	21384	15827	15477	16379	17099	17562	16540	15587	15018	15397	15462	13923	16112	17287	15241	15816	17469	17398	14676	15911	14183
105	30,0	18244	16138	13781	15277	15807	14810	18353	17627	17552	18657	16427	21933	15061	15436	14550	15769	15218	16064	18610	17208	16795	16800	16932	18071	17194	16644	14591	15683	15505	15659	18430	16596	15717	16609	16463	15828	14716	16000	14730	15824	15066	15016	15620	16290	15775	15068	19185	16533	14592	19302	14342	15985	16413	16936	15363	16430	15805	15208	15388	14769	16196	16075	14656	16199	15497	16131	15520	17353	16944	15112	15798	15503	14845	16673	14601	21366	16451	15670	16270	17255	17517	16030	15720	14822	15333	15281	13753	15996	15934	15455	16102	17495	17584	14343	16274	14481
126	30,0	18211	15681	13943	15360	15724	14723	18654	17706	17111	17724	16797	22329	15421	15123	14360	15818	15111	17028	19865	17136	16949	17587	18433	17271	15934	16444	14697	15543	15574	15529	15935	16396	15620	17337	16385	15918	14838	16318	14634	15753	15135	15157	16414	16155	15802	14967	16556	16321	14656	19815	14256	15971	16090	15128	15262	16752	16298	15507	16105	14593	15366	15718	14759	15906	15716	16188	16447	17239	16748	15358	16113	17463	14741	16713	14435	21299	16350	15417	15763	17094	17501	15175	15761	14648	15410	15216	13834	15748	15816	15167	15590	17557	17348	14239	17103	14540
147	30,0	17313	15661	13719	15053	20923	14620	19154	17867	17702	18877	17055	20723	14584	15142	14372	15793	14973	17243	20772	17755	17070	17749	17196	17853	15124	16724	14480	15568	15452	15512	16101	16350	15870	16778	16287	16341	14844	16443	14676	16139	15278	15245	15482	17173	15578	15472	19701	16207	14861	20367	14383	15937	15746	14276	15017	16440	16128	16913	16956	14702	15592	16134	14700	16685	15757	16213	17477	17111	16838	14938	17286	17452	14714	16565	14443	21103	16814	15456	15783	17263	17414	14938	15638	14578	15451	15392	13790	16371	16362	15556	15536	17273	17002	14353	17766	14212
168	30,0	18596	15350	13889	15396	15566	14743	18666	17866	17240	17945	17072	21000	15005	15332	14425	15497	15258	17932	17559	18124	17330	17782	17534	18872	17360	16934	14647	15401	15585	16375	21730	16218	15638	16693	16372	16468	19201	16042	14964	15755	14758	14989	15394	17910	15648	15471	18749	16203	14563	20188	14453	15689	16327	14352	18361	16777	15880	15942	15394	16723	15390	18240	14608	15944	15565	15988	19161	17220	16691	15006	15191	19067	14699	16511	14358	21130	16264	15215	15598	17196	17572	15295	17092	14530	15574	15175	13802	16131	16370	15443	15749	17505	16961	14783	15552	14229
189	30,0	18990	15741	13893	15072	15568	15110	18310	18371	17216	17994	17061	21329	14869	15131	14395	16339	15130	17448	17308	18191	17734	18583	21573	17584	15914	16468	14725	15397	15508	15384	17151	16638	15745	22870	16622	20910	16042	16455	14465	15836	14759	15164	15406	15940	15488	15557	16570	16474	14326	20182	14338	15786	18824	14176	15517	17020	15649	15264	15316	14523	15053	15656	14663	16009	15354	15201	18052	17174	16800	14883	15172	18912	14722	16663	14433	21044	16238	15480	15912	17154	17297	15026	15400	14319	15356	15228	13905	15960	15667	15314	15842	17383	16527	14266	15137	14066
210	30,0	19196	15721	13800	15256	15891	14768	17790	17967	17388	18746	17238	20260	14574	14998	14419	15797	15025	16375	17677	18415	17967	18342	17840	18053	15728	16517	14505	15339	15349	15265	21413	16801	15791	18832	16936	16971	14468	16648	14652	15826	15023	15171	15503	15921	15802	15715	15515	16408	14755	19802	14397	15881	15672	14273	17161	16808	15909	15614	16748	17574	15970	15604	14756	16131	15429	15172	17792	17162	16737	15127	15246	15847	14627	16600	14541	20879	17332	15213	15666	17273	17163	15439	15822	14468	15490	14956	13833	15962	15030	15409	15489	17478	16648	15040	15378	14028
