ID:plate,ID:well,TR:Virus_-log(1/dil),TR:Sf9_cells,DA:ALL,DV:Cell_area_um2,DV:Area_STD_um2,DV:Cell_diameter_um,DV:Diameter_STD_um,DV:Cell_count,DV:Max_cell_diameter_um
My_plate,A01,-0.3,200000,87279.9375,272.6074,109.3525,18.1436,4.1828,2123.25,19.8938
My_plate,A02,-0.78,200000,87279.9375,264.7399,102.5152,17.9074,4.0236,1969.25,19.3158
My_plate,A03,-1.26,200000,87279.9375,272.4503,101.3608,18.1595,3.9458,1919.75,19.5868
My_plate,A04,-1.73,200000,87279.9375,288.4348,105.9104,18.6908,4.0022,1748.25,20.286
My_plate,A05,-2.21,200000,87279.9375,255.5089,109.3351,17.4684,4.468,2500.5,19.1492
My_plate,A06,-2.69,200000,87279.9375,251.4015,120.9143,17.1293,5.1114,1912.5,18.7756
My_plate,B01,-0.3,200000,87279.9375,283.9787,107.2689,18.5429,3.9968,1999.75,20.3407
My_plate,B02,-0.78,200000,87279.9375,264.7827,101.8547,17.9149,4.0138,1994.25,19.2089
My_plate,B03,-1.26,200000,87279.9375,280.2779,105.5524,18.4168,4.0807,1789.75,19.8886
My_plate,B04,-1.73,200000,87279.9375,251.6493,105.0178,17.3889,4.2343,2574.5,18.8932
My_plate,B05,-2.21,200000,87279.9375,269.3011,115.8966,17.8753,4.6484,2052.5,19.64
My_plate,B06,-2.69,200000,87279.9375,267.6471,122.5473,17.778,4.9107,2219,19.7245
My_plate,C01,-3.16,200000,87279.9375,236.7429,127.6818,16.4683,5.4436,2031.25,18.3683
My_plate,C02,-3.64,200000,87279.9375,225.4249,132.6252,15.9815,5.6059,1943.5,18.2328
My_plate,C03,-4.12,200000,87279.9375,222.5425,128.84,15.8784,5.57,1814.25,18.2157
My_plate,C04,-4.6,200000,87279.9375,218.484,125.6305,15.7526,5.4459,1879,18.0448
My_plate,C05,-5.07,200000,87279.9375,227.8522,126.092,16.1537,5.2294,1849,18.5156
My_plate,C06,-7,200000,87279.9375,222.4725,124.0267,15.9284,5.2414,1823.75,18.3221
My_plate,D01,-3.16,200000,87279.9375,237.8557,132.1438,16.4355,5.6196,2031.5,18.5672
My_plate,D02,-3.64,200000,87279.9375,232.8244,134.6524,16.2324,5.6764,1927.25,18.533
My_plate,D03,-4.12,200000,87279.9375,222.6571,132.1196,15.8506,5.6521,1970.5,18.2398
My_plate,D04,-4.6,200000,87279.9375,214.7377,128.13,15.5663,5.5292,1970.25,17.8896
My_plate,D05,-5.07,200000,87279.9375,215.7908,130.3897,15.5731,5.5718,1759.25,17.969
My_plate,D06,-7,200000,87279.9375,218.5385,126.0592,15.7596,5.2829,1893,18.2001
